0.75,2.15,82.57,140468.05
0.92,2.67,82.87,140371.48
1.04,3.12,83.22,140288.72
1.16,3.57,83.63,140219.75
1.26,3.94,84.01,140136.97
1.37,4.40,84.52,140068.00
1.48,4.77,84.98,139999.03
1.58,5.15,85.48,139930.06
1.68,5.60,86.13,139847.28
1.79,5.98,86.72,139778.31
1.89,6.36,87.34,139709.34
2.00,6.82,88.13,139626.56
2.12,7.20,88.84,139557.59
2.22,7.58,89.58,139474.83
2.34,8.04,90.53,139392.06
2.45,8.50,91.52,139323.08
2.56,8.88,92.40,139254.09
2.66,9.26,93.31,139171.34
2.78,9.73,94.45,139102.38
2.88,10.11,95.45,139033.39
2.98,10.50,96.49,138950.62
3.10,10.88,97.56,138881.66
3.21,11.35,98.90,138812.67
3.32,11.82,100.30,138729.89
3.43,12.20,101.50,138660.94
3.53,12.59,102.75,138578.16
3.66,13.14,104.55,138495.39
3.77,13.53,105.89,138426.41
3.87,13.92,107.27,138357.44
3.97,14.32,108.69,138288.47
4.08,14.79,110.44,138205.69
4.19,15.18,111.94,138136.72
4.29,15.66,113.80,138053.95
4.41,16.05,115.39,137984.98
4.51,16.45,117.02,137916.00
4.61,16.85,118.69,137847.03
4.71,17.24,120.40,137778.06
4.81,17.64,122.15,137695.28
4.94,18.12,124.30,137626.31
5.04,18.60,126.51,137543.55
5.15,19.00,128.39,137474.58
5.25,19.40,130.32,137405.59
5.35,19.81,132.28,137336.62
5.45,20.21,134.29,137267.64
5.55,20.61,136.33,137198.69
5.65,21.01,138.42,137129.70
5.76,21.50,140.98,137046.94
5.87,21.91,143.15,136977.95
5.98,22.31,145.37,136908.98
6.08,22.80,148.08,136826.22
6.19,23.21,150.38,136757.23
6.29,23.61,152.73,136688.27
6.40,24.02,155.12,136605.50
6.52,24.43,157.54,136536.52
6.63,25.01,161.01,136453.75
6.74,25.42,163.54,136384.77
6.84,25.83,166.11,136315.80
6.94,26.24,168.71,136246.83
7.04,26.65,171.36,136177.84
7.15,27.07,174.05,136108.89
7.25,27.48,176.79,136026.11
7.36,27.98,180.12,135957.14
7.46,28.40,182.94,135874.38
7.58,28.89,186.38,135805.39
7.68,29.31,189.30,135736.42
7.79,29.81,192.85,135653.64
7.91,30.23,195.86,135584.67
8.01,30.73,199.52,135501.91
8.13,31.15,202.62,135419.14
8.24,31.66,206.40,135350.16
8.34,32.08,209.59,135281.20
8.45,32.50,212.82,135198.42
8.57,33.09,217.42,135115.64
8.68,33.52,220.75,135046.67
8.79,33.94,224.13,134977.70
8.89,34.37,227.55,134894.94
9.00,34.88,231.71,134825.95
9.11,35.39,235.93,134743.20
9.22,35.82,239.50,134674.22
9.32,36.24,243.10,134605.23
9.43,36.76,247.49,134522.48
9.54,37.19,251.19,134453.50
9.65,37.62,254.93,134384.52
9.76,38.13,259.48,134301.75
9.87,38.56,263.32,134218.98
9.99,39.08,267.99,134136.22
10.11,39.60,272.71,134067.23
10.21,40.12,277.50,133984.47
10.33,40.55,281.54,133915.50
10.43,40.99,285.62,133832.73
10.55,41.51,290.58,133749.95
10.67,42.03,295.59,133680.98
10.77,42.47,299.82,133612.02
10.88,42.91,304.09,133543.05
10.99,43.34,308.41,133460.27
11.10,43.87,313.65,133391.30
11.21,44.31,318.06,133322.33
11.31,44.75,322.52,133253.34
11.41,45.28,327.93,133170.58
11.53,45.72,332.48,133101.61
11.63,46.16,337.08,133018.84
11.75,46.69,342.65,132936.06
11.86,47.22,348.29,132867.09
11.97,47.67,353.04,132784.31
12.09,48.20,358.80,132715.34
12.19,48.65,363.64,132632.58
12.31,49.18,369.52,132563.59
12.41,49.63,374.46,132494.62
12.52,50.17,380.46,132411.86
12.63,50.61,385.50,132342.89
12.73,51.06,390.59,132260.11
12.86,51.60,396.75,132177.34
12.98,52.23,404.02,132094.58
13.10,52.77,410.33,132011.81
13.21,53.23,415.63,131929.05
13.33,53.77,422.06,131860.06
13.44,54.22,427.46,131777.30
13.55,54.76,434.00,131694.53
13.67,55.31,440.61,131611.77
13.79,55.86,447.28,131528.98
13.91,56.40,454.02,131460.02
14.02,56.95,460.83,131377.25
14.13,57.41,466.55,131294.48
14.25,57.96,473.48,131211.72
14.37,58.42,479.30,131142.73
14.49,59.06,487.53,131059.97
14.60,59.52,493.46,130991.00
14.71,60.07,500.64,130908.22
14.82,60.53,506.67,130839.25
14.93,60.99,512.75,130756.48
15.04,61.55,520.11,130673.70
15.16,62.10,527.53,130590.93
15.28,62.66,535.02,130521.96
15.39,63.21,542.57,130439.20
15.50,63.68,548.92,130356.44
15.62,64.23,556.60,130273.66
15.74,64.79,564.34,130190.89
15.86,65.35,572.16,130121.91
15.97,65.82,578.72,130039.15
16.08,66.38,586.65,129956.38
16.20,66.94,594.66,129887.40
16.31,67.50,602.73,129804.63
16.42,68.07,610.87,129721.87
16.54,68.54,617.70,129652.89
16.64,69.01,624.58,129570.12
16.76,69.57,632.90,129501.16
16.86,70.04,639.88,129418.38
16.98,70.61,648.33,129349.40
17.08,71.09,655.41,129280.42
17.19,71.56,662.55,129197.66
17.31,72.22,672.62,129114.89
17.42,72.70,679.87,129045.91
17.53,73.18,687.17,128963.15
17.65,73.75,695.99,128880.38
17.77,74.23,703.39,128811.40
17.88,74.80,712.33,128728.63
18.00,75.37,721.35,128645.87
18.12,75.95,730.43,128563.09
18.24,76.52,739.58,128494.13
18.34,77.10,748.81,128411.35
